Aplikasi Pembelajaran Cara Cepat Membaca Al-Qur'an dengan Metode Al Bayan Berbasis Multimedia Interaktif;Eko Aribowo, S.T., M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Murinto, S.Si., M.Kom.
Aplikasi Pembelajaran English Tenses Berbasis Mobile Flash Lite;Drs. Wahyu Pujiyono, M. Kom.;Ardiansyah, S.T., M.Cs.;Dewi Soyusiawaty, S.T., M.T.
Aplikasi Pembelajaran Kesehatan Reproduksi Berbasis Multimedia;Drs. Tedy Setiadi, M.T.;Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.
Aplikasi Pembelajaran Kombinatorial (Prinsip Counting Inklusi-Eksklusi, Pigeonhole) Mata Kuliah Matematika Diskret;Drs. Tedy Setiadi, M.T.;Eko Aribowo, S.T., M.Kom.;Ir. Ardi Pujiyanta, M.T.
Aplikasi Pembelajaran Matematika  Tentang Pengukuran Berat untuk SD Kelas Satu;Drs. Wahyu Pujiyono, M. Kom.;Drs. Tedy Setiadi, M.T.;Murinto, S.Si., M.Kom.
Aplikasi Pembelajaran Permainan Edukatif dengan Metode Asimilasi dan Akumudasi Untuk Anak Berbasis Multimedia;Drs. Wahyu Pujiyono, M. Kom.;Drs. Tedy Setiadi, M.T.;Dewi Soyusiawaty, S.T., M.T.
Aplikasi Pembelajaran Rangka Tulang Manusia Berbasis Virtual Reality;Adhi Prahara, S.Si., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.;Nur Rochmah DPA, S.T., M.Kom.
Aplikasi Pembelajaran Teori Peluang Statistika Informatika;Sri Winiarti, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Murinto, S.Si., M.Kom.
Aplikasi Pencarian dan Pemesanan Tiket Travel Berbasis Mobile Memanfaatkan Google Maps (Studi Kasus Area Kota Yogyakarta);Rusydi Umar, S.T., M.T., Ph.D.;Ardiansyah, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Aplikasi Pencarian Kost dan Kontrakan Berbasis Android;Drs. Wahyu Pujiyono, M. Kom.;Ardiansyah, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Aplikasi Pencarian Rumah Sakit dan Dokter yang menyediakan layanan BPJS di Daerah Sleman Berbasis Mobile Memanfaatkan Layanan Berbasis Lokasi degan Fitur Nearby;Rusydi Umar, S.T., M.T., Ph.D.;Ardiansyah, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.
Aplikasi Pendeteksi Kerusakan Pada Vespa;Fiftin Novianto, S.T., M.Cs.;Murinto, S.Si., M.Kom.;Rusydi Umar, S.T., M.T., Ph.D.
Aplikasi Pendeteksi Kualitas Daging Sapi Berdasarkan Tekstur Citra Menggunakan Metode Tresholding;Murinto, S.Si., M.Kom.;Kartika Firdaus, S.T., M.T.;Ardiansyah, S.T., M.Cs.
Aplikasi Pendeteksi Plagiarisme Skripsi Dengan Metode Cosine Similarity;Eko Aribowo, S.T., M.Kom.;Ali Tarmuji, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.
Aplikasi Penentuan Tingkat Stres Pada Mahasiswa Menggunakan Metode Fuzzy Logic;Ir. Ardi Pujiyanta, M.T.;Dr. Abdul Fadlil, M.T.;Drs. Tedy Setiadi, M.T.
Aplikasi Penerimaan Siswa Baru Reguler (PSB) Online Berbasis Web dab Mobile yan terintegrasi dengan SMS Gateway (SK SMA N 1 Pengasih);Dewi Soyusiawaty, S.T., M.T.;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Aplikasi Penerjemah Bahasa Indonesia - Bahasa Melayu Sambas Kalimantan Barat dan Sebaliknya;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ir. Ardi Pujiyanta, M.T.
Aplikasi Penerjemah Bahasa Indonesia Banjar dan Sebaliknya dengan Analisis Sintaks;Drs. Tedy Setiadi, M.T.;Ardiansyah, S.T., M.Cs.;Dewi Soyusiawaty, S.T., M.T.
Aplikasi Penerjemah Bahasa Indonesia ke Bahasa Korea dan Bahasa Korea ke Indonesia;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.;Dewi Soyusiawaty, S.T., M.T.
Aplikasi penerjemah Bahasa Indonesia ke bahasa Lampung disertai sintaksis;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.
Aplikasi Penerjemah Bahasa Seraway - Indonesia dan Indonesia Seraway;Drs. Tedy Setiadi, M.T.;Eko Aribowo, S.T., M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Aplikasi penerjemah BI Banjar Indonesia;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Murinto, S.Si., M.Kom.
Aplikasi Penerjemahan Bahasa Indonesia-Bahasa Daerah Sulawesi Tenggara (Wolio) dan Sebaliknya yang Dilengkapi dengan Pengecekan Ejaan dan Pemeriksa Kata Ambigu;Dewi Soyusiawaty, S.T., M.T.;Eko Aribowo, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.
Aplikasi Penerjermah Bahasa Indonesia - Rejang dan sebaiknya dengan konversi teks Terjemahan Menjadi Suara;Fiftin Novianto, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Dewi Soyusiawaty, S.T., M.T.
Aplikasi Pengaduan dan Pelayanan Masyarakat Pada Kepolisian Sektor Jogonalan Berbasis SMS Gateway;Eko Aribowo, S.T., M.Kom.;Ir. Ardi Pujiyanta, M.T;Dewi Soyusiawaty, S.T., M.T.
Aplikasi Pengelolaan Keuangan Pribadi Berbasis Android;Eko Aribowo, S.T., M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Ardiansyah, S.T., M.Cs.
Aplikasi Pengelolaan Keuangan Untuk Organisasi Non Profit Berbasis Cloud Computing;Ardiansyah, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Aplikasi Pengembangan Bahan Ajar Pelajaran TIK Materi Pengenalan Pascal Untuk Siswa SMP Kelas 7 Berbasis Multimedia;Drs. Tedy Setiadi, M.T.;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Aplikasi Pengenalan Citra Rambu Lalu Lintas Berbentuk Lingkaran Menggunakan Metode Jarak City-Block;Murinto, S.Si., M.Kom.;Kartika Firdaus, S.T., M.T.;Drs. Tedy Setiadi, M.T.
Aplikasi Pengenalan Gunung Berapi Berbasis Multimedia;Murinto, S.Si., M.Kom.;Dewi Soyusiawaty, S.T., M.T.;Fiftin Noviyanto, S.T., M.Cs.
Aplikasi Pengenalan Hongul Berbasis Multimedia Interaktif;Drs. Tedy Setiadi, M.T.;Dewi Soyusiawaty, S.T., M.T.;Fiftin Noviyanto, S.T., M.Cs.
Aplikasi Pengenalan Pola Batik Jogja Berdasarkan Fitur Tekstur Menggunakan Metode Jarak City Block;Murinto, S.Si., M.Kom.;Kartika Firdaus, S.T., M.T.;Ir. Ardi Pujiyanta, M.T.
Aplikasi Pengetahuan dasar HIV dan AIDS Berbasis Android;Ir. Ardi Pujiyanta, M.T.;Ardiansyah, S.T., M.Cs.;Rusydi Umar, S.T., M.T., Ph.D.
Aplikasi Pengingat Shalat dan Arah Kiblat Menggunakan Global Positioning System (GPS) Berbasis Android 1.6;Sri Winiarti, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Aplikasi Pengolahan Bahasa Alami Untuk Bahasa Indonesia - Karo dan Sebaliknya.;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Sri Winiarti, S.T., M.Cs.
Aplikasi Pengolahan Bahasa Alami Untuk Bahasa Indonesia ke Bahasa Cirebon dan Sebaliknya;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.
Aplikasi Pengolahan Citra Mendeteksi Kualitas cabai Berdasarkan Tingkat Kematangan Menggunakan Transformasi Warna YcbCr;Murinto, S.Si., M.Kom.;Kartika Firdaus, S.T., M.T.;Ir. Ardi Pujiyanta, M.T.
Aplikasi Pengolahan Citra Untuk Deteksi Tingkat Kemalangan Semangka Berdasarkan Fitur Tekstur Kulit Buah;Murinto, S.Si., M.Kom.;Kartika Firdaus, S.T., M.T.;Sri Winiarti, S.T., M.Cs.
Aplikasi Pengolahan Citra Untuk Deteksi Tingkat Kematangan Pada Buah Kelengkeng Dengan Metode Perbandingan Kadar Warna;Murinto, S.Si., M.Kom.;Ir. Ardi Pujiyanta, M.T;Sri Winiarti, S.T., M.Cs.
Aplikasi Pengolahan Citra Untuk Identifikasi Kematangan Mentimun Berdasarkan Tekstur Kulit Buah dengan metode ekstrasi ciri statistik;Murinto, S.Si., M.Kom.;Kartika Firdaus, S.T., M.T.;Ir. Ardi Pujiyanta, M.T.
Aplikasi Pengolahan Citra Untuk Identifikasi Kematangan Mentimun Berdasarkan Tekstur Kulit Buah Dengan Metode Logika Fuzzy;Ir. Ardi Pujiyanta, M.T.;Murinto, S.Si., M.Kom.;Rusydi Umar, S.T., M.T., Ph.D.
Aplikasi Pengolahan Citra Untuk Mendeteksi Jenis Telur Berdasarkan Fitur Warna Kulit Telur;Murinto, S.Si., M.Kom.;Kartika Firdaus, S.T., M.T.;Ir. Ardi Pujiyanta, M.T.
Aplikasi Pengolahan Citra Untuk Mendeteksi Mutu buah berdasarkan Kerusakan Jeruk Menggunakan Metode Thresholding;Murinto, S.Si., M.Kom.;Kartika Firdaus, S.T., M.T.;Sri Winiarti, S.T., M.Cs.
Aplikasi Pengolahan Citra Untuk Mendeteksi Mutu Daun Kayu Putih (Folium) Dalam Pembuatan Minyak Kayu Putih Dengan Menggunakan Metode Thresholding;Murinto, S.Si., M.Kom.;Sri Winiarti, S.T., M.Cs.;Andri Pranolo, S.T., M.Cs.
Aplikasi Pengolahan Citra Untuk Menentukan Kematangan Buah Pisang Berdasarkan Fitur Warna Kuit Buah;Murinto, S.Si., M.Kom.;Sri Winiarti, S.T., M.Cs.;Kartika Firdaus, S.T., M.T.
Aplikasi Penilaian Kinerja Guru SD oleh Kepala Sekolah dengan Kriteria Bayes;Eko Aribowo, S.T., M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Ir. Ardi Pujiyanta, M.T.
Aplikasi Penterjemah Bahasa Cirebon-Bahasa Indonesia dan sebaliknya dilengkapi dengan Pengecekan kata ambigu;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ir. Ardi Pujiyanta, M.T.
Aplikasi Penterjemah Bahasa Indonesia-Bahasa Sunda dan Sebaliknya Berbasis SMS;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.
Aplikasi Penterjemah Bahasa Melayu Belitung - Indonesia dan Sebaliknya;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.
Aplikasi Penterjemah Bahasa Ogan-Indonesia dan Sebaliknya;Drs. Tedy Setiadi, M.T.;Ardiansyah, S.T., M.Cs.;Dewi Soyusiawaty, S.T., M.T.
Aplikasi Penterjemah Untuk Bahasa Indonesia ke Bahasa Jawa dan Sebaliknya.;Dewi Soyusiawati, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ardiansyah, S.T., M.Cs.
Aplikasi Penterjemahan Bahasa Lintang - Bahasa Indonesia;Rusydi Umar, S.T., M.T., Ph.D.;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.
Aplikasi Penyimpanan Data Balai Sosekling Pemukiman System Cloud Computing;Fiftin Noviyanto, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Eko Aribowo, S.T., M.Kom.
Aplikasi Perekapan Kehadiran Siswa Berbasis Web yang terintegrasi  SMS Gateway;Dewi Soyusiawaty, S.T., M.T.;Ardiansyah, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Aplikasi Peterjemah Bahasa Indonesia-Bali dan Sebaliknya disertai Pengecekan ejaan;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.
Aplikasi SIG Penentuan Daerah yang Terkena Gizi Buruk di Kabupaten Bantul;Drs. Tedy Setiadi, M.T.;Eko Aribowo, S.T., M.Kom.;Ali Tarmuji, S.T., M.Cs.
Aplikasi Sistem Administrasi dan Informasi Sekolah Berbasis SMS Gateway;Drs. Wahyu Pujiono, M.Kom.;Eko Aribowo, S.T., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Aplikasi Sistem Informasi Keuangan Berbasis Web Menggunakan Konsep MVC (Model, View, Control) Dengan Framework Laravel Untuk Mengelola Keuangan Bagi Kelompok Petani Sayur Hidroponik RW 12 Kauman Yogyakarta;Arfiani Nur Khusna, S.T., M.Kom.;Sri Handayaningsih, S.T., M.T.;Drs. Wahyu Pujiono, M.Kom.
Aplikasi Sistem Informasi Peminjaman Aset Untuk Takmir Berbasis Web Menggunakan Konsep MVC (Model View Controller) Dengan Menggunakan Framework Codeigniter Di BIFAS UAD;Arfiani Nur Khusna, S.T., M.Kom.;Herman Yuliansyah, S.T., M.Eng.;Ardiansyah, S.T., M.Cs.
Aplikasi Sistem Informasi Pengolahan Data Logistik Alat Pada UKM Universitas Ahmad Dahlan Yogyakarta Berbasis Web;Fiftin Novianto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.
Aplikasi Sistem Manajemne Forum berbasis Mobile;Drs. Wahyu Pujiyono, M. Kom.;Arif Rachman, S.Si., M.T.;Ardiansyah, S.T., M.Cs.
Aplikasi Sistem Pakar untuk Mendiagnosa Penyakit Sistem Peredaran Darah Pada Manusia dengan Metode CBR;Ir. Ardi Pujiyanta, M.T.;Drs. Wahyu Pujiono, M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Aplikasi Sistem pakar Untuk Penentuan Asupan makanan Bagi Penderita Hepatitis Dengan Logika Fuzzy Metode Sugeno;Ir. Ardi Pujiyanta, M.T.;Drs. Tedy Setiadi, M.T.;Eko Aribowo, S.T., M.Kom.
Aplikasi Sistem Penilaian Kinerja Karyawan Untuk Menaikkan Jabatan dengan Metode  BARS Berbasis Web.;Fiftin Novianto, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Ali Tarmuji, S.T., M.Cs.
Aplikasi Sistem Prediksi Masa Tanam Menggunakan Data Service BMKG Berbasis Native Mobile;Fiftin Noviyanto, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.;Drs. Tedy Setiadi, M.T.
Aplikasi SP untuk mendiagnosa Penyakit Infeksi pada usus manusia;Dr. Abdul Fadlil, M.T.;Sri Winiarti, S.T., M.Cs.;Sri Handayaningsih, S.T., M.T.
Aplikasi Sumbangan Pembinaan Pendidikan Berbasis Web yang Terintegrasi dengan SMS Gateway;Dewi Soyusiawaty, S.T., M.T.;Ardiansyah, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Aplikasi Terjemahan Bahasa Indonesia - Sunda dan sebaliknya berbasis WAP;Drs. Tedy Setiadi, M.T.;Drs. Wahyu Pujiono, M.Kom.;Ir. Ardi Pujiyanta, M.T.
Aplikasi Terjemahan Bahasa Indonesia ke Bahasa Batak Angka Berbasis Android;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ardiansyah, S.T., M.Cs.
Aplikasi Terjemahan Bahasa Indonesia ke Bahasa Jawa Dilengkapi dengan Pengecekan Kalimat Ambigu;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ardiansyah, S.T., M.Cs.
Aplikasi Terjemahan Bahasa Indonesia ke Bahasa Tidore dan Bahasa Tidore ke Bahasa Indonesia;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ardiansyah, S.T., M.Cs.
Aplikasi Terjemahan Bhs Ind ke Bhs Palembang dan sebaliknya;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ardiansyah, S.T., M.Cs.
Aplikasi Tes Kepribadian Menggunakan Metode Edward Preference Schedule (EPPS) Berbasis Web;Ali Tarmuji, S.T., M.Cs.;Drs. Wahyu Pujiono, M.Kom.;Sri Winiarti, S.T., M.Cs.
Aplikasi Tes Kepribadian Sebagai Pendukung Keputusan Dalam Perekrutan Karyawan Dengan Metode MTB (Myres -BridgsType Indicator);Taufiq Ismail, S.T., M.Cs.;Sri Winiarti, S.T., M.Cs.;Mushlihuddin, S.T., M.T.
Aplikasi Transformasi Warna YCbCr Untuk Deteksi Jenis Warna Kulit Tomat Dalam Fase Kematangan Tomat;Murinto, S.Si., M.Kom.;Kartika Firdaus, S.T., M.T.;Sri Winiarti, S.T., M.Cs.
Aplikasi Try Out Bahasa Inggris Untuk Ujian Nasional Sekolah Menengah Atas;Dewi Soyusiawaty, S.T., M.T.;Drs. Wahyu Pujiono, M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Aplikasi untuk Menentukan Kerusakan Jalan;Sri Handayaningsih, S.T., M.T.;Drs. Wahyu Pujiono, M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Aplikasi Web Dengan Text Mining Untuk Pengelompokan Judul Jurnal Publikasi Dengan Metode SNN ( Shared Nearest Neighbour);Herman Yuliansyah, S.T., M.Eng.;Taufiq Ismail, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.
Aplikasi Web Gis Pemetaan Fasilitas Umum Sarana Kesehatan Kota Yogyakarta Menggunakan Google Maps Api;Ali Tarmuji, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Rusydi Umar, S.T., M.T., Ph.D.
Aplikasii Multimedia Interaktif Pengenalan Topologi Jaringan dan TCP IP;Ardiansyah, S.T., M.Cs.;Mushlihudin, S.T., M.T.;Dr. Imam Riadi, M.Kom
Aplikiasi Sistem Informasi Berbasis Web Dengan Konsep MVC Untuk Pengadaan Barang Di BIFAS UAD Yogyakarta;Arfiani Nur Khusna, S.T., M.Kom.;Herman Yuliansyah, S.T., M.Eng.;Ardiansyah, S.T., M.Cs.
Apliksi Deteksi Masa Panen Padi menggunakan perbandingan histogram warna pada daun padi;Murinto, S.Si., M.Kom.;Sri Winiarti, S.T., M.Cs.;Andri Pranolo, S.T., M.Cs.
Arsitektur Teknologi Informasi Framework Zachman (Studi Kasus : Bifas Univ xyz);Sri Handayaningsih, S.T., M.T.;Drs. Wahyu Pujiono, M.Kom.;Tawar AG, S.Si., M.Kom.
Audit SI Pada Diglib Universitas XYZ Menggunakan Kerangka Kerja Cobit 4.0;Sri Handayaningsih, S.T., M.T.;Dewi Soyusiawaty, S.T., M.T.;Ali Tarmuji, S.T., M.Cs.
Audit Sistem Informasi Pada IT Center Teknik Informatika;Sri Handayaningsih, S.T., M.T.;Sri Winiarti, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Billing Hotspot;Eko Aribowo, S.T., M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Ir. Ardi Pujiyanta, M.T.
Business Intelligence Uji Kinerja Dengan Metode Balanced Scorecard (Studi Kasus  : Kantor Pos Semarang);Drs. Tedy Setiadi, M.T.;Murinto, S.Si., M.Kom.;Ali Tarmuji, S.T., M.Cs.
Content Management System Asrama mahasiswa berbasis web sebagai software As A system dalam Cloud Computing;Rusydi Umar, S.T., M.T., Ph.D.;Fiftin Noviyanto, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.
Data Mining Kunjungan Wisata Menggunakan Metode K-Means Clustering Dengan Cosine Similarity;Drs. Tedy Setiadi, M.T.;Sri Winiarti, S.T., M.Cs.;Andri Pranolo, S.T., M.Cs.
Decision Support System Penilaian Kinerja Guru  Berdasarkan Kurikulum Tingkat satuan Pendidikan (KTSP);Fiftin Novianto, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Sri Winiarti, S.T., M.Cs.
Desain dan Implementasi E-Counseling pada PS Bimbingan Konseling (Studi Kasus : PS Bimbingan Konseling);Eko Aribowo, S.T., M.Kom.;Sri Handayaningsih, S.T., M.T.;Ardiansyah, S.T., M.Cs.
Desain dan Implementasi Jejaring Sosial Bagi Penggemar Sepakbola Berbasis Web;Ardiansyah, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Desain dan Implementasi Sistem Informasi Manajemen Keuangan Tour and Travel Berorientasi Objek;Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.
Desain dan Implementasi Virtualisasi Server Menggunakan Proxmox;Dr. Imam Riyadi, M.Kom.;Ardiansyah, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.
Desain dan Implementasi Web E-Commerce Pada Pemesanan Buku Secara Online (Studi Kasus di Divaprees Publisher);Drs. Tedy Setiadi, M.T.;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Desain Prototype Sistem Customer Relationship Management (CRM) pda CV. MSA Furniture dengan Menggunakan Metode CRM Value Chain dan Pendekatan Metode Rad Untuk Perancangan Sistem;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Desain User Interface dan User Experience Kriptografi Modern Pada Scoket Programming Dengan Media Device Android;Eko Aribowo, S.T., M.Kom.;Murinto, S.Si., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Design dan Aplikasi Kompresi Audio Wave Beserta Playernya dengan Metode Huffman;Eko Aribowo, S.T., M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Sri Winiarti, S.T., M.Cs.
Deteksi dan Serangan Hama Tanaman Buah Salak Menggunakan Jaringan Syaraf Tiruan (JST) dgn Metode Perceptron;Ir. Ardi Pujiyanta, M.T.;Dr. Abdul Fadlil, M.T.;Sri Winiarti, S.T., M.Cs.
Deteksi Jenis Ikan Hias Menggunakan Metode Canny;Murinto, S.Si., M.Kom.;Kartika Firdaus, S.T., M.T.;Sri Winiarti, S.T., M.Cs.
Deteksi Kecacatan Pada Gerabah Menggunakan Metode Canny;Murinto, S.Si., M.Kom.;Dr. Abdul Fadlil, M.T.;Kartika Firdaus, S.T., M.T.
Deteksi Penyakit Autis dengan Jaringan Syaraf Tiruan Algoritma Perceptron;Ir. Ardi Pujiyanta, M.T.;Dr. Abdul Fadlil, M.T.;Murinto, S.Si., M.Kom.
Deteksi Penyakit Autis dengan Jaringan Syaraf Tiruan Metode Backpropagation;Ir. Ardi Pujiyanta, M.T.;Dr. Abdul Fadlil, M.T.;Murinto, S.Si., M.Kom.
Deteksi Penyakit Ayam Menggunakan Jaringan Syaraf Tiruan Dengan Metode Perceptron;Ir. Ardi Pujiyanta, M.T.;Dr. Abdul Fadlil, M.T.;Sri Winiarti, S.T., M.Cs.
Deteksi Penyakit Pada Ikan Gurame menggunakan JST &  Metode Backpropagation;Ir. Ardi Pujiyanta, M.T.;Dr. Abdul Fadlil, M.T.;Sri Winiarti, S.T., M.Cs.
Deteksi Penyakit Saluran Pernafasan Dengan Jaringan Syaraf Tiruan Metode Perceptron;Ir. Ardi Pujiyanta, M.T.;Dr. Abdul Fadlil, M.T.;Sri Winiarti, S.T., M.Cs.
Deteksi Penyakit Tulang Menggunakan Jaringan Syaraf Tiruan Dengan Metode Backpropagation;Ir. Ardi Pujiyanta, M.T.;Dr. Abdul Fadlil, M.T.;Sri Winiarti, S.T., M.Cs.
Diagnosa Penyakit Paru-Paru dengan JST Metode Kohonen Berbasis Web;Ir. Ardi Pujiyanta, M.T.;Dr. Abdul Fadlil, M.T.;Sri Winiarti, S.T., M.Cs.
E- Readiness Pada Pengembangan Modul Pengajuan Cuti Akademik Universitas Ahmad Dahlan (UAD) Yogyakarta;Sri Handayaningsih, S.T., M.T.;Ali Tarmuji, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.
E-Commerce Untuk Penjualan Buku Pada Penerbit Ombak Berbasis Framework;Ali Tarmuji, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.
E-Readness Pembuatan Model Sistem M-Government;Sri Handayaningsih, S.T., M.T.;Ardiansyah, S.T., M.Cs.;Sri Winiarti, S.T., M.Cs.
Enkripsi Video Menggunakan Algoritma Cipher Block Chaining (CBC);Eko Aribowo, S.T., M.Kom.;Dr. Imam Riyadi, M.Kom.;Nuril Anwar, S.T., M.Kom.
Ensiklopedia Budaya dan Sastra Bahasa Melayu Rokan Hulu;Ardiansyah, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Dewi Soyusiawaty, S.T., M.T.
Enterprise Arsitektur Planning Produksi Gula Dengan Zachman Framework Studi Kasus : Pabrik Gula Madu Baru Yogyakarta;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Nur Rochmah DPA, S.T., M.Kom.
Evaluasi E-Readiness Dosen Dalam Pemanfaatan Broadcast Management System(BMS) SDM di Universitas Ahmad dahlan Yogyakarta;Eko Aribowo, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Evaluasi Usability Dengan Menggunakan Metode Usefullness Satisfaction Ease of Use and Ease of Learning (USE) Questionnaire Pada Aplikasi SCRUM Project Management Berbasis Mobile;Herman Yuliansyah, S.T., M.Eng.;Rusydi Umar, S.T., M.T., Ph.D.;Ardiansyah, S.T., M.Cs.
Evaluasi Usbility Dengan Menggunakan Metode Website Analysis Measuremment Inventory (WAMMI) Pada Aplikasi Scrum Project management Berbasis Web;Herman Yuliansyah, S.T., M.Eng.;Rusydi Umar, S.T., M.T., Ph.D.;Taufiq Ismail, S.T., M.Cs.
Forensik Jaringan Untuk Mendeteksi Serangan SQl Injection Menggunakan NIST;Dr. Imam Riyadi, M.Kom.;Taufiq Ismail, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.
Front Office Sistem menggunakan M-Government untuk interaksi masyarakat dan pemerintah Yogyakarta.;Ardiansyah, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Fiftin Noviyanto, S.T., M.Cs.
Game Adventure Menggunakan Metode Side Scrolling Cerita Doyan Nada untuk meningkatkan pemahaman Budaya Sasak (lombok) pada Anak;Drs. Wahyu Pujiyono, M. Kom.;Ardiansyah, S.T., M.Cs.;Ir. Ardi Pujiyanta, M.T.
"Game Edukasi Meningkatkan daya Ingat Anak ""Bermain Bersama Modo dan Modi""";Fiftin Novianto, S.T., M.Cs.;Mursid WH, S.Si., M.Kom.;Sri Winiarti, S.T., M.Cs.
Game Edukasi Pengenalan Bahasa Inggris Untuk Taman Kanak-Kanak Menggunakan Flash (Studi Kasus  : TK Aisyiyah Bustanul Athfal Pokoh);Drs. Wahyu Pujiyono, M. Kom.;Murinto, S.Si., M.Kom.;Drs. Tedy Setiadi, M.T.
Game Edukasi Rambu Lalu Lintas Untuk Anak Usia Dini;Sri Winiarti, S.T., M.Cs.;Murinto, S.Si., M.Kom.;Taufiq Ismail, S.T., M.Cs.
Game Wayang Arjuna dan Ekalaya;Fiftin Novianto, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Herman Yuliansyah, S.T., M.Eng.
Identifikasi Kerusakan Permukaan Citra Kulit Hewan Menggunakan Metode Trhresholding;Murinto, S.Si., M.Kom.;Dewi Pramudi Ismi, S.T., M.CompSc;Adhi Prahara, S.Si., M.Cs.
Identifikasi Kualitas Daging Sapi Menggunakan Metode k-Means Clustering;Sri Winiarti, S.T., M.Cs.;Dewi Soyusiawaty, S.T., M.T.;Dewi Pramudi Ismi, S.T., M.CompSc
